ndviM,elevation,slope,vs,vd,ppt,tmean,vpdmax,tmin,tmax,ignition
NaN,731.687379610473,12.8670556063921,6.8726042078,3.6894850009,1388.09160046,21.1016509056091,37.4091495513916,11.9539999485016,30.2502498626709,1
NaN,668.027149788376,24.3504693436106,2.1153688434,267.5010204738,1759.0381481561,27.1605742934825,49.1313939741057,18.1451101249812,36.1772993143369,0
NaN,1068.52946353915,13.9036515555935,2.8510057184,203.6239355228,867.2678337092,23.0794650255373,40.2823374268118,13.2715847311207,32.8883688557939,1
NaN,222.791723386877,3.76462905462492,5.4751886797,328,891.5041063159,26.2457259309898,45.9574420672127,17.2405153648391,35.2520382158324,1
NaN,729.028539403345,21.5003064606216,2.1254444156,277.7114496017,1888.6900327249,26.5753257637096,46.8662657435868,17.73690210541,35.4148726732551,0
NaN,743.416109202676,14.4733173086649,3.6023479368,293,810.0143249691,23.4412228672853,41.8533538552607,12.0393284104701,34.8442093489223,1
NaN,447.752688172043,12.6063611343238,4.2640472704,25,958.9415786176,13.8703438043178,10.5810538565041,8.50424279461028,19.2372727176275,1
NaN,456.388505747126,17.8815924117673,2.8781374324,182,1065.6203323317,26.8852432101657,45.5810421703132,18.9005829151765,34.8709692236017,0
NaN,113.180162727625,1.96431613695317,2.6990819644,169.907915107,577.1163155081,27.0385641699018,50.8915001878475,17.5692803131607,36.5093715559231,0
NaN,529.456651540482,15.0991503331523,2.7880354114,147,1109.7036504131,26.4583682627174,49.8364618187603,16.4204583513989,36.497402187566,0
NaN,408.444663544491,14.3956178478898,4.8459345131,317,433.6939993962,27.2310013771057,41.4867496490478,19.2447500228882,35.2182502746582,NaN
NaN,758.492155525239,5.25815795666931,1.6695604247,230,848.1198664988,24.1467406813797,41.2284281604345,14.9618504733845,33.3321671123754,0
NaN,180.813688212928,5.63770336551056,2.7999999523,156,809.7194772396,24.8751436728331,45.2658451597872,14.6393569230424,35.1115745691122,0
NaN,1476.34033479049,21.2379166884143,3.0666667024,230,1424.8641994596,21.6613677978516,38.4573666572571,13.1843000253042,30.1391335805257,1
NaN,640.845080652483,21.4570280461137,4.4674761285,321.9888046139,1182.8860044742,19.5811259746552,24.024374961853,13.7263749837875,25.436999797821,1
NaN,369.047591564928,7.82821722652089,3.6138863062,331.5964269222,1089.7688691209,9.96789060124335,7.57279571809211,4.70640626049437,15.229996365453,1
NaN,539.050598945855,12.1235747827716,3.9453202626,42,1393.8853185128,27.7832564157361,46.38737275479,20.3201354960986,35.2473206352155,1
NaN,1324.95600765084,18.4069270874454,3.6252054657,329.2438342498,1714.3452688276,18.9917596386656,32.0875824151214,9.7262456922999,28.2580894305764,1
NaN,900.854955680903,20.6283638074998,2.9461301863,292,814.20326555,25.8070654462842,37.9525186852944,18.6864804217054,32.9286470822282,1
NaN,43.638588912887,2.13323121188011,6.2402555373,353,711.6511347142,20.3371343234379,23.3351326186162,14.0170722108524,26.6577702242431,1
NaN,305.345054945055,13.2212506701494,3.2000000477,334,1590.739980424,27.4447754425163,47.7782701278944,19.428652794416,35.4615559492759,1
0.619575994268038,1262.81084036459,20.8816147143832,2,175,781.0622846862,21.4845722743443,31.0784641333989,14.4833570889064,28.4868929045541,1
